timestamp,op,latency_ms,error
2026-09-22T18:28:09.592479+00:00,write,400.9,
2026-09-22T18:28:09.865384+00:00,point_read,272.9,
2026-09-22T18:28:10.117111+00:00,point_read,251.7,
2026-09-22T18:28:10.505866+00:00,write,388.8,
2026-09-22T18:28:11.008097+00:00,scan_read,502.2,
2026-09-22T18:28:11.524685+00:00,point_read,516.1,
2026-09-22T18:28:11.799177+00:00,point_read,273.9,
2026-09-22T18:28:12.158159+00:00,scan_read,359.0,
2026-09-22T18:28:12.568793+00:00,scan_read,410.6,
2026-09-22T18:28:13.028211+00:00,point_read,459.4,
2026-09-22T18:28:14.041072+00:00,scan_read,1012.9,
2026-09-22T18:28:14.582733+00:00,write,541.7,
2026-09-22T18:28:14.953814+00:00,scan_read,371.1,
2026-09-22T18:28:15.277613+00:00,write,323.8,
2026-09-22T18:28:15.620943+00:00,point_read,342.8,
2026-09-22T18:28:16.143521+00:00,write,522.6,
2026-09-22T18:28:16.555641+00:00,point_read,412.1,
2026-09-22T18:28:16.849699+00:00,point_read,294.1,
2026-09-22T18:28:17.143446+00:00,write,293.2,
2026-09-22T18:28:17.499423+00:00,write,356.0,
2026-09-22T18:28:17.854630+00:00,write,355.2,
2026-09-22T18:28:18.364388+00:00,point_read,509.8,
2026-09-22T18:28:19.276677+00:00,scan_read,912.3,
2026-09-22T18:28:19.687244+00:00,point_read,410.6,
2026-09-22T18:28:19.992111+00:00,point_read,304.9,
2026-09-22T18:28:20.320419+00:00,write,328.3,
2026-09-22T18:28:20.628985+00:00,point_read,308.6,
2026-09-22T18:28:20.947644+00:00,write,318.1,
2026-09-22T18:28:21.316496+00:00,point_read,368.9,
2026-09-22T18:28:21.707896+00:00,point_read,390.4,
2026-09-22T18:28:22.170736+00:00,scan_read,462.3,
2026-09-22T18:28:22.465498+00:00,point_read,294.8,
2026-09-22T18:28:22.752650+00:00,point_read,287.2,
2026-09-22T18:28:23.011642+00:00,point_read,258.5,
2026-09-22T18:28:23.370765+00:00,write,359.1,
2026-09-22T18:28:23.890237+00:00,scan_read,519.5,
2026-09-22T18:28:24.752038+00:00,point_read,861.8,
