timestamp,op,latency_ms,error
2026-09-23T04:59:00.682029+00:00,write,335.3,
2026-09-23T04:59:00.919563+00:00,point_read,236.5,
2026-09-23T04:59:01.164521+00:00,point_read,245.0,
2026-09-23T04:59:01.651384+00:00,point_read,486.9,
2026-09-23T04:59:02.784305+00:00,scan_read,1132.9,
2026-09-23T04:59:03.268226+00:00,point_read,483.9,
2026-09-23T04:59:03.788668+00:00,write,520.4,
2026-09-23T04:59:04.491346+00:00,point_read,701.7,
2026-09-23T04:59:05.096027+00:00,point_read,604.7,
2026-09-23T04:59:06.340675+00:00,scan_read,1244.6,
2026-09-23T04:59:07.492099+00:00,scan_read,1151.4,
2026-09-23T04:59:07.751668+00:00,point_read,259.1,
2026-09-23T04:59:08.100294+00:00,point_read,348.6,
2026-09-23T04:59:09.141470+00:00,scan_read,1041.2,
2026-09-23T04:59:09.692303+00:00,write,550.3,
2026-09-23T04:59:09.933252+00:00,point_read,240.9,
2026-09-23T04:59:10.431098+00:00,point_read,497.8,
2026-09-23T04:59:10.754293+00:00,point_read,323.2,
2026-09-23T04:59:11.077416+00:00,point_read,322.6,
2026-09-23T04:59:15.076334+00:00,scan_read,3998.9,
2026-09-23T04:59:18.709452+00:00,scan_read,3630.8,
2026-09-23T04:59:22.719947+00:00,scan_read,3977.5,
2026-09-23T04:59:24.029578+00:00,point_read,1307.1,
2026-09-23T04:59:25.128748+00:00,point_read,1099.2,
2026-09-23T04:59:26.730438+00:00,write,1601.7,
2026-09-23T04:59:27.862992+00:00,point_read,1132.6,
2026-09-23T04:59:29.400931+00:00,point_read,391.6,
2026-09-23T04:59:29.819285+00:00,point_read,418.4,
2026-09-23T04:59:30.183480+00:00,point_read,364.2,
2026-09-23T04:59:31.515043+00:00,write,1326.7,
2026-09-23T04:59:32.331668+00:00,point_read,816.6,
2026-09-23T04:59:33.291952+00:00,write,960.3,
2026-09-23T04:59:35.749027+00:00,scan_read,2457.1,
2026-09-23T04:59:36.139524+00:00,point_read,390.0,
2026-09-23T04:59:36.733106+00:00,write,593.6,
2026-09-23T04:59:37.083441+00:00,point_read,350.3,
2026-09-23T04:59:38.660145+00:00,point_read,1576.2,
2026-09-23T04:59:39.182507+00:00,point_read,522.4,
2026-09-23T04:59:42.206132+00:00,scan_read,3023.6,
2026-09-23T04:59:43.340940+00:00,point_read,1127.5,
2026-09-23T04:59:43.896237+00:00,point_read,555.3,
2026-09-23T04:59:46.328318+00:00,scan_read,2431.5,
2026-09-23T04:59:46.703059+00:00,point_read,374.2,
2026-09-23T04:59:47.375746+00:00,write,672.7,
2026-09-23T04:59:47.663811+00:00,point_read,288.1,
2026-09-23T04:59:49.004290+00:00,scan_read,1340.5,
2026-09-23T04:59:50.093082+00:00,point_read,1088.8,
2026-09-23T04:59:55.950770+00:00,scan_read,5856.7,
2026-09-23T04:59:57.771473+00:00,point_read,1687.2,
2026-09-23T04:59:58.081658+00:00,point_read,309.7,
2026-09-23T05:00:00.638487+00:00,scan_read,2556.8,
2026-09-23T05:00:01.943735+00:00,point_read,1305.2,
2026-09-23T05:00:04.900772+00:00,point_read,2957.0,
2026-09-23T05:00:06.750798+00:00,point_read,1841.5,
2026-09-23T05:00:08.202494+00:00,scan_read,1451.5,
2026-09-23T05:00:09.345799+00:00,scan_read,1142.8,
2026-09-23T05:00:09.565595+00:00,point_read,219.8,
2026-09-23T05:00:09.817062+00:00,point_read,251.5,
2026-09-23T05:00:10.706743+00:00,scan_read,889.2,
2026-09-23T05:00:11.099497+00:00,point_read,392.8,
2026-09-23T05:00:11.494430+00:00,point_read,394.9,
2026-09-23T05:00:12.338251+00:00,write,843.8,
2026-09-23T05:00:12.615080+00:00,point_read,276.8,
2026-09-23T05:00:13.105119+00:00,write,490.0,
2026-09-23T05:00:13.560967+00:00,point_read,455.8,
2026-09-23T05:00:13.807371+00:00,point_read,246.4,
2026-09-23T05:00:14.278885+00:00,write,471.5,
2026-09-23T05:00:14.971806+00:00,scan_read,692.4,
2026-09-23T05:00:15.473907+00:00,write,502.1,
2026-09-23T05:00:16.277209+00:00,scan_read,803.3,
2026-09-23T05:00:16.904601+00:00,write,627.4,
2026-09-23T05:00:17.881766+00:00,write,977.2,
2026-09-23T05:00:18.176421+00:00,point_read,178.2,
2026-09-23T05:00:18.902641+00:00,scan_read,726.2,
2026-09-23T05:00:19.843695+00:00,scan_read,941.1,
2026-09-23T05:00:20.614025+00:00,write,770.3,
2026-09-23T05:00:21.101056+00:00,write,446.3,
2026-09-23T05:00:21.495792+00:00,write,394.7,
2026-09-23T05:00:22.031129+00:00,write,535.3,
2026-09-23T05:00:22.761171+00:00,write,730.0,
2026-09-23T05:00:25.555383+00:00,scan_read,2794.2,
2026-09-23T05:00:26.306742+00:00,write,735.8,
2026-09-23T05:00:26.878288+00:00,point_read,571.5,
2026-09-23T05:00:27.276505+00:00,point_read,398.2,
2026-09-23T05:00:28.868295+00:00,scan_read,1591.8,
2026-09-23T05:00:30.302475+00:00,scan_read,1434.2,
2026-09-23T05:00:30.716532+00:00,point_read,414.1,
