timestamp,op,latency_ms,error
2026-09-22T21:33:58.199109+00:00,point_read,275.0,
2026-09-22T21:33:58.746148+00:00,scan_read,546.5,
2026-09-22T21:33:59.243251+00:00,scan_read,497.1,
2026-09-22T21:34:00.476915+00:00,scan_read,988.7,
2026-09-22T21:34:00.730224+00:00,point_read,253.3,
2026-09-22T21:34:01.125289+00:00,write,395.1,
2026-09-22T21:34:01.386718+00:00,point_read,261.4,
2026-09-22T21:34:01.730411+00:00,write,343.7,
2026-09-22T21:34:01.979249+00:00,point_read,248.3,
2026-09-22T21:34:02.290047+00:00,point_read,310.8,
2026-09-22T21:34:02.731512+00:00,scan_read,441.5,
2026-09-22T21:34:03.006422+00:00,write,274.9,
2026-09-22T21:34:03.335079+00:00,write,328.7,
2026-09-22T21:34:03.603404+00:00,point_read,268.3,
2026-09-22T21:34:04.207458+00:00,scan_read,604.1,
2026-09-22T21:34:04.883315+00:00,point_read,675.9,
2026-09-22T21:34:05.324015+00:00,write,440.7,
2026-09-22T21:34:05.718748+00:00,point_read,394.7,
2026-09-22T21:34:06.114396+00:00,point_read,395.6,
2026-09-22T21:34:07.336097+00:00,scan_read,1221.7,
2026-09-22T21:34:08.151161+00:00,point_read,815.1,
2026-09-22T21:34:08.871033+00:00,write,719.9,
2026-09-22T21:34:09.594503+00:00,scan_read,723.5,
2026-09-22T21:34:10.096931+00:00,point_read,502.4,
2026-09-22T21:34:10.674395+00:00,scan_read,577.5,
2026-09-22T21:34:11.095374+00:00,write,421.0,
2026-09-22T21:34:11.383491+00:00,point_read,288.1,
2026-09-22T21:34:11.635617+00:00,point_read,252.1,
2026-09-22T21:34:11.926488+00:00,point_read,290.9,
2026-09-22T21:34:12.247330+00:00,write,320.8,
2026-09-22T21:34:12.558466+00:00,write,310.6,
2026-09-22T21:34:13.184842+00:00,scan_read,626.4,
2026-09-22T21:34:13.585476+00:00,write,400.6,
2026-09-22T21:34:13.962591+00:00,point_read,377.1,
2026-09-22T21:34:14.291940+00:00,point_read,329.3,
2026-09-22T21:34:14.683933+00:00,write,392.0,
2026-09-22T21:34:14.936501+00:00,point_read,252.6,
2026-09-22T21:34:15.207844+00:00,point_read,271.3,
2026-09-22T21:34:16.032630+00:00,point_read,824.8,
2026-09-22T21:34:16.894290+00:00,point_read,861.7,
2026-09-22T21:34:17.661417+00:00,point_read,766.6,
2026-09-22T21:34:18.766127+00:00,point_read,1104.7,
2026-09-22T21:34:19.615369+00:00,point_read,849.2,
2026-09-22T21:34:20.821189+00:00,scan_read,1205.8,
2026-09-22T21:34:21.320040+00:00,write,498.9,
2026-09-22T21:34:21.662752+00:00,point_read,342.7,
2026-09-22T21:34:22.394818+00:00,scan_read,732.1,
2026-09-22T21:34:22.870098+00:00,write,475.3,
2026-09-22T21:34:23.337293+00:00,write,467.2,
2026-09-22T21:34:23.924494+00:00,scan_read,587.2,
2026-09-22T21:34:24.205037+00:00,point_read,280.5,
